Game Name,CIB Price,New Price
Super Smash Bros. Melee,$68.76,$964.06
World of Warcraft,$11.50,$19.99
Call of Duty: Modern Warfare,$7.96,$19.97
Super Smash Bros. Melee [Best Seller],$70.00,$250.37
